GTR3 dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

Am_AcusticPlug26_1.wav Amin ['Amin', 0.46, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug26_2.wav Amin ['Amin', 0.86, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug26_3.wav Amin ['Amin', 0.63, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug26_4.wav Amin ['Amin', 0.38, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug27_1.wav Amin ['Amin', 0.31, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug27_2.wav Amin ['Amin', 0.27, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug27_3.wav Amin ['Amin', 0.35, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug27_4.wav Amin ['Amin', 0.39, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug28_1.wav Amin ['Amin', 0.62, {'A', 'C', 'E'}, 'A']
Am_AcusticPlug28_2.wav Amin ['Esus4', 0.56, {'B', 'A', 'E'}, 'A']
Am_AcusticPlug28_3.wav Amin ['Amin', 0.37, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug28_4.wav Amin ['Amin', 0.59, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug29_1.wav Amin ['Amin', 0.75, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug29_2.wav Amin ['B', 0.7, {'B', 'A', 'C'}, 'B']
Am_AcusticPlug29_3.wav Amin ['Amin', 0.55, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug29_4.wav Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'E']
Am_AcusticPlug30_1.wav Amin ['E', 0.48, {'G', 'A', 'E'}, 'E']
Am_AcusticPlug30_2.wav Amin ['E', 0.56, {'B', 'C', 'E'}, 'E']
Am_AcusticPlug30_3.wav Amin ['E', 0.8, {'G', 'A', 'E'}, 'E']
Am_AcusticPlug30_4.wav Amin ['Cmaj', 0.36, {'G', 'C', 'E'}, 'E']
