Chord,Correct,Total,Accuracy (%)
Abdim,8,12,66.67
Abmaj,10,12,83.33
Abmin,10,12,83.33
Adim,8,12,66.67
Amaj,11,12,91.67
Amin,11,12,91.67
Bbdim,10,12,83.33
Bbmaj,10,12,83.33
Bbmin,10,12,83.33
Bdim,9,12,75.00
Bmaj,8,12,66.67
Bmin,10,12,83.33
Cdim,6,12,50.00
Cmaj,7,12,58.33
Cmin,8,12,66.67
Dbdim,5,12,41.67
Dbmaj,9,12,75.00
Dbmin,7,12,58.33
Ddim,6,12,50.00
Dmaj,7,12,58.33
Dmin,8,12,66.67
Ebdim,6,12,50.00
Ebmaj,7,12,58.33
Ebmin,7,12,58.33
Edim,7,12,58.33
Emaj,9,12,75.00
Emin,7,12,58.33
Fdim,9,12,75.00
Fmaj,11,12,91.67
Fmin,10,12,83.33
Gbdim,8,12,66.67
Gbmaj,9,12,75.00
Gbmin,11,12,91.67
Gdim,9,12,75.00
Gmaj,11,12,91.67
Gmin,11,12,91.67
