PTW dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

A_dim_7_1.wav Adim ['Adim', 0.49, {'C', 'A', 'Eb'}, 'Eb']
A_dim_2_0.wav Adim ['A', 0.69, {'C', 'Db', 'A'}, 'A']
A_dim_2_1.wav Adim ['Amin', 0.61, {'C', 'E', 'A'}, 'C']
A_dim_3_0.wav Adim ['C', 0.83, {'C', 'Bb', 'A'}, 'C']
A_dim_3_1.wav Adim ['C', 0.84, {'C', 'Bb', 'A'}, 'C']
A_dim_4_0.wav Adim ['Adim', 0.6, {'C', 'A', 'Eb'}, 'Eb']
A_dim_4_1.wav Adim ['Adim', 0.36, {'C', 'A', 'Eb'}, 'Eb']
A_dim_5_0.wav Adim ['Adim', 0.58, {'C', 'A', 'Eb'}, 'C']
A_dim_5_1.wav Adim ['Adim', 0.19, {'C', 'A', 'Eb'}, 'C']
A_dim_6_0.wav Adim ['Adim', 0.6, {'C', 'A', 'Eb'}, 'A']
A_dim_6_1.wav Adim ['Adim', 0.75, {'C', 'A', 'Eb'}, 'A']
A_dim_7_0.wav Adim ['Adim', 0.54, {'C', 'A', 'Eb'}, 'Eb']
A_maj_7_1.wav Amaj ['Amaj', 0.49, {'A', 'Db', 'E'}, 'E']
A_maj_2_0.wav Amaj ['Db', 0.42, {'G', 'Db', 'A'}, 'Db']
A_maj_2_1.wav Amaj ['Amaj', 0.44, {'Db', 'A', 'E'}, 'Db']
A_maj_3_0.wav Amaj ['Amaj', 0.58, {'Db', 'E', 'A'}, 'E']
A_maj_3_1.wav Amaj ['Amaj', 0.63, {'A', 'Db', 'E'}, 'E']
A_maj_4_0.wav Amaj ['Amaj', 0.67, {'Db', 'A', 'E'}, 'E']
A_maj_4_1.wav Amaj ['Amaj', 0.4, {'A', 'Db', 'E'}, 'E']
A_maj_5_0.wav Amaj ['Amaj', 0.49, {'Db', 'A', 'E'}, 'E']
A_maj_5_1.wav Amaj ['Amaj', 0.15, {'A', 'Db', 'E'}, 'E']
A_maj_6_0.wav Amaj ['Amaj', 0.31, {'Db', 'A', 'E'}, 'E']
A_maj_6_1.wav Amaj ['Amaj', 0.3, {'A', 'Db', 'E'}, 'E']
A_maj_7_0.wav Amaj ['Amaj', 0.57, {'Db', 'A', 'E'}, 'E']
A_min_7_1.wav Amin ['Amin', 0.49, {'C', 'A', 'E'}, 'E']
A_min_2_0.wav Amin ['A', 0.7, {'C', 'Db', 'A'}, 'A']
A_min_2_1.wav Amin ['Amin', 0.56, {'C', 'E', 'A'}, 'C']
A_min_3_0.wav Amin ['Amin', 0.57, {'C', 'E', 'A'}, 'E']
A_min_3_1.wav Amin ['Amin', 0.62, {'C', 'A', 'E'}, 'E']
A_min_4_0.wav Amin ['Amin', 0.67, {'C', 'E', 'A'}, 'E']
A_min_4_1.wav Amin ['Amin', 0.4, {'C', 'A', 'E'}, 'E']
A_min_5_0.wav Amin ['Amin', 0.49, {'C', 'E', 'A'}, 'E']
A_min_5_1.wav Amin ['Amin', 0.15, {'C', 'A', 'E'}, 'E']
A_min_6_0.wav Amin ['Amin', 0.41, {'C', 'E', 'A'}, 'E']
A_min_6_1.wav Amin ['Amin', 0.4, {'C', 'A', 'E'}, 'E']
A_min_7_0.wav Amin ['Amin', 0.53, {'C', 'E', 'A'}, 'E']
Bb_dim_7_1.wav Bbdim ['Bbdim', 0.29, {'Bb', 'Db', 'E'}, 'E']
Bb_dim_2_0.wav Bbdim ['Db', 0.58, {'Db', 'Bb', 'D'}, 'Db']
Bb_dim_2_1.wav Bbdim ['Bbmin', 0.49, {'Db', 'Bb', 'F'}, 'Db']
Bb_dim_3_0.wav Bbdim ['Bbdim', 0.6, {'Db', 'Bb', 'E'}, 'E']
Bb_dim_3_1.wav Bbdim ['Bbdim', 0.61, {'Db', 'Bb', 'E'}, 'E']
