Chord,Correct,Total,Accuracy (%)
Abmaj,850,900,94.44
Abmin,900,900,100.00
Amaj,840,900,93.33
Amin,900,900,100.00
Bbmaj,900,900,100.00
Bbmin,860,900,95.56
Bmaj,900,900,100.00
Bmin,850,900,94.44
Cmaj,900,900,100.00
Cmin,450,900,50.00
Dbmaj,800,900,88.89
Dbmin,470,900,52.22
Dmaj,830,900,92.22
Dmin,558,900,62.00
Ebmaj,700,900,77.78
Ebmin,440,900,48.89
Emaj,800,900,88.89
Emin,900,900,100.00
Fmaj,780,900,86.67
Fmin,890,900,98.89
Gbmaj,740,900,82.22
Gbmin,880,900,97.78
Gmaj,900,900,100.00
Gmin,900,900,100.00
