True/Predicted,Abmaj,Abmin,Amaj,Amin,Bbmaj,Bbmin,Bmaj,Bmin,Cmaj,Cmin,Dbmaj,Dbmin,Dmaj,Dmin,Ebmaj,Ebmin,Emaj,Emin,Fmaj,Fmin,Gbmaj,Gbmin,Gmaj,Gmin
Abmaj,850,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abmin,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaj,0,0,840,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Amin,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bbmaj,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bbmin,0,0,0,0,0,860,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmaj,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmin,0,0,0,0,0,0,0,850,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
Cmaj,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cmin,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dbmaj,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,40,0,0,0,0
Dbmin,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0
Dmaj,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,30,0,0
Dmin,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0
Ebmaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0
Ebmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,30,0,0,0
Emaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0
Emin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0
Fmaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0
Fmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,0,0
Gbmaj,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0
Gbmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0
Gmaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0
Gmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
