aPTD dataset FFT analysis.

File name | Correct chord | Prediction info (chord prediction, threshold, detected notes, strong note)

piano_4_Gn_n_m_04.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_10.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_38.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_19.wav Gmin ['Gmin', 0.2, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_31.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_25.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_24.wav Gmin ['Gmin', 0.22, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_30.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_18.wav Gmin ['Gmin', 0.12, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_39.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_11.wav Gmin ['Gmin', 0.28, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_05.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_37.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_08.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_23.wav Gmin ['Gmin', 0.45, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_20.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_34.wav Gmin ['Gmin', 0.31, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_18.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_30.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_24.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_16.wav Gmin ['Gmin', 0.65, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_29.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, '']
piano_5_Gn_n_f_02.wav Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_01.wav Gmin ['Gmin', 0.36, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_15.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_34.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_20.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_08.wav Gmin ['Gmin', 0.37, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_12.wav Gmin ['Gmin', 0.59, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_06.wav Gmin ['Gmin', 0.53, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_10.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_04.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_38.wav Gmin ['Gmin', 0.49, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_36.wav Gmin ['Gmin', 0.16, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_22.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_m_03.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_28.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_17.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_14.wav Gmin ['Gmin', 0.65, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_00.wav Gmin ['Gmin', 0.56, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_32.wav Gmin ['Gmin', 0.29, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_26.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_f_22.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_09.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_36.wav Gmin ['Gmin', 0.32, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_35.wav Gmin ['Gmin', 0.51, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_21.wav Gmin ['Gmin', 0.57, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_13.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_07.wav Gmin ['Gmin', 0.26, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_26.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_32.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_p_33.wav Gmin ['Gmin', 0.34, {'G', 'D', 'Bb'}, 'D']
piano_3_Gn_n_p_27.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_m_06.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_m_12.wav Gmin ['Gmin', 0.33, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_m_20.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_34.wav Gmin ['Gmin', 0.54, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_37.wav Gmin ['Gmin', 0.25, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_f_23.wav Gmin ['Gmin', 0.27, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_m_08.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_f_27.wav Gmin ['Gmin', 0.24, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_f_33.wav Gmin ['Gmin', 0.23, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_01.wav Gmin ['Gmin', 0.61, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_15.wav Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_16.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_02.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_29.wav Gmin ['Gmin', 0.44, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_23.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_37.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_p_39.wav Gmin ['Gmin', 0.46, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_05.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_11.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_29.wav Gmin ['Gmin', 0.46, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_15.wav Gmin ['Gmin', 0.5, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_p_01.wav Gmin ['Gmin', 0.52, {'G', 'D', 'Bb'}, 'Bb']
piano_4_Gn_n_p_33.wav Gmin ['Gmin', 0.38, {'G', 'D', 'Bb'}, 'D']
piano_4_Gn_n_p_27.wav Gmin ['Gmin', 0.4, {'G', 'D', 'Bb'}, 'D']
piano_5_Gn_n_f_11.wav Gmin ['Gmin', 0.61, {'G', 'D', 'Bb'}, 'Bb']
piano_5_Gn_n_f_05.wav Gmin ['Gmin', 0.6, {'G', 'D', 'Bb'}, 'Bb']
piano_3_Gn_n_m_06.wav Gmin ['Gmin', 0.3, {'G', 'D', 'Bb'}, 'Bb']
