Amin ['Amin', 0.46, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.86, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.63, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.38, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.31, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.27, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.39, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.62, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.56, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.37, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.59, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.75, {'A', 'E', 'C'}, 'E']
Amin ['B', 0.7, {'A', 'B', 'C'}, 'B']
Amin ['Amin', 0.55, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'E']
Amin ['E', 0.48, {'G', 'A', 'E'}, 'E']
Amin ['E', 0.56, {'E', 'B', 'C'}, 'E']
Amin ['E', 0.8, {'G', 'A', 'E'}, 'E']
Amin ['Cmaj', 0.36, {'G', 'E', 'C'}, 'E']
Amin ['Amin', 0.56, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.55, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.67, {'A', 'E', 'C'}, 'A']
Amin ['Emaj', 0.33, {'Ab', 'E', 'B'}, 'B']
Amin ['Emaj', 0.22, {'Ab', 'E', 'B'}, 'B']
Amin ['Esus2', 0.23, {'Gb', 'E', 'B'}, 'B']
Amin ['Emaj', 0.15, {'Gb', 'Ab', 'E', 'B'}, 'B']
Amin ['Amin', 0.33, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.36, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.52, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.57, {'A', 'E', 'C'}, 'A']
Amin ['Emin', 0.71, {'G', 'E', 'B'}, 'E']
Amin ['C', 0.42, {'Db', 'E', 'C'}, 'C']
Amin ['E', 0.69, {'Db', 'B', 'E'}, 'E']
Amin ['E', 0.68, {'B', 'E', 'C'}, 'E']
Amin ['Esus4', 0.75, {'A', 'B', 'E'}, 'E']
Amin ['A', 0.56, {'A', 'B', 'C'}, 'A']
Amin ['B', 0.92, {'B', 'E', 'C'}, 'B']
Amin ['Esus4', 0.66, {'A', 'E', 'B'}, 'A']
Amin ['Amin', 0.32, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.44, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.32, {'A', 'E', 'C'}, 'E']
Amin ['E', 0.47, {'G', 'A', 'E'}, 'E']
Amin ['Amin', 0.28, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.18, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.18, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.46, {'A', 'E', 'C'}, 'E']
Amin ['Dsus2', 0.57, {'A', 'D', 'E'}, 'E']
Amin ['Amin', 0.48, {'A', 'E', 'C'}, 'A']
Amin ['Dsus2', 0.69, {'A', 'D', 'E'}, 'A']
Amin ['E', 0.44, {'D', 'E', 'C'}, 'E']
Amin ['Amin', 0.5, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.44, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.44, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.23, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.29, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.37, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.79, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.59, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.4, {'A', 'E', 'C'}, 'E']
Amin ['D', 0.36, {'Bb', 'A', 'D'}, 'D']
Amin ['D', 0.55, {'Bb', 'A', 'D'}, 'D']
Amin ['D', 0.71, {'Bb', 'D', 'E'}, 'D']
Amin ['D', 0.43, {'Bb', 'D', 'E'}, 'D']
Amin ['A', 0.25, {'G', 'A', 'E'}, 'A']
Amin ['A', 0.29, {'G', 'A', 'E'}, 'A']
Amin ['A', 0.47, {'G', 'A', 'E'}, 'A']
Amin ['E', 0.4, {'G', 'A', 'E'}, 'E']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.32, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.42, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.39, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.47, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Esus4', 0.34, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.44, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.41, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.54, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.57, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.39, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.4, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.4, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.51, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.38, {'A', 'E', 'C'}, 'E']
Amin ['D', 0.34, {'Bb', 'D', 'E'}, 'D']
Amin ['D', 0.51, {'Bb', 'D', 'B'}, 'D']
Amin ['D', 0.61, {'Bb', 'D', 'E'}, 'D']
Amin ['D', 0.43, {'Bb', 'D', 'E'}, 'D']
Amin ['Bb', 0.54, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Bb', 0.58, {'Bb', 'D', 'C'}, 'Bb']
Amin ['Bb', 0.72, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Bb', 0.63, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Amin', 0.56, {'A', 'E', 'C'}, 'E']
Amin ['Esus4', 0.81, {'A', 'E', 'B'}, 'B']
Amin ['Esus4', 0.64, {'A', 'B', 'E'}, 'A']
Amin ['Cmaj', 0.37, {'G', 'E', 'C'}, 'E']
Amin ['Amin', 0.56, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.79, {'A', 'E', 'C'}, 'E']
Amin ['A', 0.69, {'G', 'A', 'E'}, 'A']
Amin ['Cmaj', 0.39, {'G', 'E', 'C'}, 'E']
Amin ['Bb', 0.78, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Bb', 0.89, {'Bb', 'A', 'E'}, 'Bb']
Amin ['Dsus2', 0.91, {'Bb', 'A', 'D', 'E'}, 'Bb']
Amin ['E', 0.72, {'Bb', 'D', 'E'}, 'E']
Amin ['Esus4', 0.55, {'A', 'B', 'E'}, 'A']
Amin ['Esus4', 0.36, {'A', 'B', 'E'}, 'E']
Amin ['Esus4', 0.17, {'A', 'B', 'E'}, 'A']
Amin ['Esus4', 0.13, {'A', 'B', 'E'}, 'A']
Amin ['A', 0.63, {'Bb', 'A', 'D'}, 'A']
Amin ['A', 0.34, {'Bb', 'A', 'B'}, 'A']
Amin ['A', 0.52, {'Bb', 'A', 'E'}, 'A']
Amin ['Bb', 0.58, {'Bb', 'D', 'E'}, 'Bb']
Amin ['A', 0.71, {'Bb', 'A', 'D'}, 'A']
Amin ['A', 0.38, {'Bb', 'A', 'D'}, 'A']
Amin ['A', 0.47, {'Bb', 'A', 'E'}, 'A']
Amin ['Bb', 0.66, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Bb', 0.55, {'Bb', 'D', 'E'}, 'Bb']
Amin ['', 0.77, {'Bb', 'A', 'D'}, '']
Failed to process D:\kaggle\GTR3\AllChords Evaluation\Amin\Am_AcustiicPlug12_2.wav: string index out of range
Amin ['D', 0.7, {'Bb', 'A', 'D'}, 'D']
Amin ['Bb', 0.61, {'Bb', 'D', 'E'}, 'Bb']
Amin ['Dsus2', 0.48, {'A', 'D', 'E'}, 'E']
Amin ['Dsus2', 0.6, {'A', 'D', 'E'}, 'A']
Amin ['Dsus2', 0.75, {'A', 'D', 'E'}, 'A']
Amin ['E', 0.38, {'D', 'E', 'C'}, 'E']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.35, {'A', 'B', 'E'}, 'A']
Amin ['Esus4', 0.31, {'A', 'B', 'E', 'C'}, 'A']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.62, {'A', 'E', 'C'}, 'E']
Amin ['Esus4', 0.76, {'A', 'B', 'E', 'C'}, 'B']
Amin ['Emin', 0.58, {'G', 'A', 'B', 'E'}, '']
Amin ['E', 0.49, {'Bb', 'E', 'C'}, 'E']
Amin ['E', 0.52, {'Bb', 'A', 'E'}, 'E']
Amin ['Esus4', 0.57, {'A', 'E', 'B'}, 'A']
Amin ['Esus4', 0.4, {'A', 'B', 'E'}, 'A']
Amin ['E', 0.27, {'Bb', 'E', 'C'}, 'E']
Amin ['D', 0.5, {'Bb', 'D', 'Ab'}, 'D']
Amin ['Dmaj', 0.47, {'Gb', 'A', 'D', 'B'}, 'D']
Amin ['Dmaj', 0.39, {'Gb', 'A', 'D'}, 'D']
Amin ['Daug', 0.5, {'Gb', 'D', 'Bb'}, 'D']
Amin ['Amin', 0.48, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.57, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.66, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.36, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.48, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.55, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.62, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.36, {'A', 'E', 'C'}, 'A']
Amin ['Amaj', 0.64, {'Db', 'A', 'E'}, 'A']
Amin ['Amaj', 0.71, {'Db', 'A', 'E'}, 'A']
Amin ['Amin', 0.21, {'A', 'E', 'C'}, 'A']
Amin ['Amaj', 0.22, {'Db', 'A', 'E'}, 'E']
Amin ['Esus4', 0.73, {'A', 'E', 'B'}, 'B']
Amin ['Esus4', 0.75, {'A', 'E', 'B'}, 'E']
Amin ['Esus4', 0.56, {'A', 'B', 'E'}, 'E']
Amin ['Amin', 0.46, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.24, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.23, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.14, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.23, {'A', 'B', 'E'}, 'E']
Amin ['Amin', 0.19, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.22, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.12, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.29, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.34, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.36, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.81, {'A', 'B', 'E'}, 'A']
Amin ['C', 0.58, {'A', 'B', 'C'}, 'C']
Amin ['C', 0.54, {'A', 'B', 'C'}, 'C']
Amin ['Amin', 0.32, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'C']
Amin ['Cmaj', 0.32, {'G', 'E', 'C'}, 'E']
Amin ['Emin', 0.42, {'G', 'B', 'E'}, 'E']
Amin ['Cmaj', 0.47, {'G', 'E', 'C'}, 'G']
Amin ['Amaj', 0.15, {'Db', 'A', 'E'}, 'E']
Amin ['Esus4', 0.26, {'A', 'B', 'E'}, 'E']
Amin ['Esus4', 0.27, {'A', 'B', 'E'}, 'E']
Amin ['Esus4', 0.53, {'A', 'B', 'E'}, 'E']
Amin ['Amin', 0.64, {'A', 'E', 'C'}, '']
Amin ['Amin', 0.15, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.14, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.11, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.53, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.3, {'A', 'E', 'C'}, 'A']
Amin ['Esus4', 0.18, {'A', 'B', 'E'}, 'A']
Amin ['Amin', 0.52, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.53, {'A', 'E', 'C'}, 'E']
Amin ['Esus4', 0.93, {'A', 'E', 'B'}, 'B']
Amin ['E', 0.6, {'E', 'B', 'C'}, 'E']
Amin ['Amin', 0.78, {'A', 'E', 'C'}, 'E']
Amin ['E', 0.2, {'B', 'E', 'C'}, 'E']
Amin ['Amin', 0.53, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.58, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.49, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.45, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.29, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.24, {'A', 'E', 'C'}, 'A']
Amin ['A', 0.21, {'A', 'G', 'E'}, 'A']
Amin ['Amin', 0.18, {'A', 'E', 'C'}, 'A']
Amin ['B', 0.6, {'E', 'B', 'C'}, 'B']
Amin ['Amin', 0.29, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.44, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.94, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.75, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.83, {'A', 'E', 'C'}, 'C']
Amin ['Amin', 0.35, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.33, {'A', 'E', 'C'}, 'A']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.43, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.82, {'A', 'E', 'C'}, 'E']
Amin ['Amin', 0.31, {'A', 'E', 'C'}, 'E']
Bbmaj ['Bbmaj', 0.73, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.66, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.76, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.7, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.51, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.35, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.41, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.69, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.54, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.63, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.83, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.38, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.57, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.66, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.98, {'Bb', 'D', 'F'}, '']
Bbmaj ['Bbmaj', 0.68, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.89, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.76, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.48, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.37, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.47, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.58, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.57, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.81, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.87, {'Bb', 'D', 'F'}, '']
Bbmaj ['Bbmaj', 0.64, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.32, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.2, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.78, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.23, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Gb', 0.74, {'Gb', 'G', 'C'}, 'Gb']
Bbmaj ['Bb', 0.75, {'Bb', 'Gb', 'C'}, 'Bb']
Bbmaj ['C', 0.69, {'Bb', 'A', 'C'}, 'C']
Bbmaj ['Gbdim', 0.58, {'Gb', 'A', 'C'}, 'Gb']
Bbmaj ['Gbdim', 0.66, {'Gb', 'A', 'C'}, 'Gb']
Bbmaj ['Gb', 0.61, {'Gb', 'D', 'C'}, 'Gb']
Bbmaj ['D', 0.89, {'Gb', 'D', 'C'}, 'D']
Bbmaj ['Gb', 0.89, {'Gb', 'G', 'A'}, 'Gb']
Bbmaj ['Bbmaj', 0.51, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.23, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.38, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.44, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.76, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.59, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.51, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.74, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.95, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.52, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.63, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Ebsus2', 0.71, {'Bb', 'Eb', 'F'}, 'Bb']
Bbmaj ['Ebsus2', 0.76, {'Bb', 'Eb', 'F'}, 'Bb']
Bbmaj ['Bb', 0.5, {'Bb', 'G', 'B'}, 'Bb']
Bbmaj ['Fsus4', 0.85, {'Bb', 'F', 'C'}, 'F']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.6, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.46, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.84, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.73, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.58, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.7, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.71, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.4, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.36, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.52, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.82, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.95, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.49, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.77, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.8, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.8, {'Bb', 'D', 'F'}, '']
Bbmaj ['Bbmaj', 0.64, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.84, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.79, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.42, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.52, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.59, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.69, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.41, {'Bb', 'D', 'F'}, 'Bb']
Bbmaj ['Bbmaj', 0.58, {'Bb', 'D', 'F'}, 'F']
Bbmaj ['Bbmaj', 0.79, {'Bb', 'D', 'F'}, 'D']
Bbmaj ['Bbmaj', 0.62, {'Bb', 'D', 'F'}, 'D']
