Adim ['Adim', 0.49, {'A', 'Eb', 'C'}, 'Eb']
Adim ['A', 0.69, {'A', 'Db', 'C'}, 'A']
Adim ['Amin', 0.61, {'A', 'C', 'E'}, 'C']
Adim ['C', 0.83, {'A', 'C', 'Bb'}, 'C']
Adim ['C', 0.84, {'A', 'C', 'Bb'}, 'C']
Adim ['Adim', 0.6, {'A', 'Eb', 'C'}, 'Eb']
Adim ['Adim', 0.36, {'A', 'Eb', 'C'}, 'Eb']
Adim ['Adim', 0.58, {'A', 'Eb', 'C'}, 'C']
Adim ['Adim', 0.19, {'A', 'Eb', 'C'}, 'C']
Adim ['Adim', 0.6, {'A', 'Eb', 'C'}, 'A']
Adim ['Adim', 0.75, {'A', 'Eb', 'C'}, 'A']
Adim ['Adim', 0.54, {'A', 'Eb', 'C'}, 'Eb']
Amaj ['Amaj', 0.49, {'A', 'Db', 'E'}, 'E']
Amaj ['Db', 0.42, {'A', 'Db', 'G'}, 'Db']
Amaj ['Amaj', 0.44, {'A', 'Db', 'E'}, 'Db']
Amaj ['Amaj', 0.58, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.63, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.67, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.4, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.49, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.15, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.31, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.3, {'A', 'Db', 'E'}, 'E']
Amaj ['Amaj', 0.57, {'A', 'Db', 'E'}, 'E']
Amin ['Amin', 0.49, {'E', 'C', 'A'}, 'E']
Amin ['A', 0.7, {'A', 'Db', 'C'}, 'A']
Amin ['Amin', 0.56, {'A', 'C', 'E'}, 'C']
Amin ['Amin', 0.57, {'A', 'C', 'E'}, 'E']
Amin ['Amin', 0.62, {'A', 'C', 'E'}, 'E']
Amin ['Amin', 0.67, {'A', 'C', 'E'}, 'E']
Amin ['Amin', 0.4, {'E', 'C', 'A'}, 'E']
Amin ['Amin', 0.49, {'A', 'C', 'E'}, 'E']
Amin ['Amin', 0.15, {'E', 'C', 'A'}, 'E']
Amin ['Amin', 0.41, {'A', 'C', 'E'}, 'E']
Amin ['Amin', 0.4, {'E', 'C', 'A'}, 'E']
Amin ['Amin', 0.53, {'A', 'C', 'E'}, 'E']
Bbdim ['Bbdim', 0.29, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Db', 0.58, {'Db', 'D', 'Bb'}, 'Db']
Bbdim ['Bbmin', 0.49, {'Db', 'F', 'Bb'}, 'Db']
Bbdim ['Bbdim', 0.6, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.61, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.64, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.44, {'Db', 'E', 'Bb'}, 'E']
Bbdim ['Bbdim', 0.54, {'Db', 'E', 'Bb'}, 'E']
